Genus,Species,Longitude,Latitude
Phascolarctos,Phascolarctos cinereus,152.8847861,-31.42445947
Phascolarctos,Phascolarctos cinereus,149.9713618,-29.30985477
Phascolarctos,Phascolarctos cinereus,150.2518998,-30.99676492
Phascolarctos,Phascolarctos cinereus,148.9235598,-31.63333193
Phascolarctos,Phascolarctos cinereus,152.03486,-32.72657
Phascolarctos,Phascolarctos cinereus,151.4010917,-27.33174944
Phascolarctos,Phascolarctos cinereus,151.90466,-32.78722
Phascolarctos,Phascolarctos cinereus,145.9959,-37.8456
Phascolarctos,Phascolarctos cinereus,153.302291,-28.820797
Phascolarctos,Phascolarctos cinereus,145.1771,-36.9354
Phascolarctos,Phascolarctos cinereus,150.5664928,-34.41569165
Phascolarctos,Phascolarctos cinereus,148.5705014,-21.39059677
